date, pm25, pm10, o3, no2, so2, co
2022/4/12, 17, 8, 19, 14, 1, 4
2022/4/13, 21, 51, 84, 20, 1, 5
2022/4/14, 85, 23, 46, 8, 2, 4
2022/4/15, 36, 28, 45, 6, 1, 3
2022/4/16, 36, 35, 56, 7, 1, 4
2022/4/17, 51, 35, 55, 14, 1, 5
2022/4/18, 63, 10, 9, 16, 1, 5
2022/4/19, 22, 20, 34, 16, 1, 6
2022/4/20, 44, 29, 58, 13, 1, 6
2022/4/21, 66, 25, 28, 11, 1, 5
2022/4/22, 49, 21, 20, 13, 1, 4
2022/4/23, 45, 13, 15, 9, 1, 4
2022/4/24, 23, 15, 18, 7, 1, 3
2022/4/25, 35, 14, 19, 7, 2, 4
2022/4/26, 30, 14, 17, 9, 1, 4
2022/4/27, 35, 18, 19, 8, 1, 3
2022/4/28, 41, 23, 24, 14, 2, 4
2022/4/29, 50, 22, 38, 12, 1, 4
2022/4/30, 54, 13, 34, 7, 1, 5
2022/3/1, 63, 28, 57, 17, 1, 4
2022/3/2, 75, 31, 58, 8, 1, 4
2022/3/3, 85, 26, 46, 18, 1, 5
2022/3/4, 73, 33, 54, 20, 2, 5
2022/3/5, 79, 25, 45, 4, 1, 3
2022/3/6, 63, 27, 36, 14, 1, 4
2022/3/7, 49, 16, 48, 10, 1, 2
2022/3/8, 39, 19, 45, 11, 1, 2
2022/3/9, 33, 22, 42, 10, 1, 2
2022/3/10, 39, 23, 33, 16, 1, 3
2022/3/11, 43, 21, 38, 12, 1, 3
2022/3/12, 47, 22, 32, 14, 1, 3
2022/3/13, 48, 21, 39, 15, 1, 3
2022/3/14, 48, 21, 34, 16, 2, 3
2022/3/15, 52, 18, 35, 8, 1, 3
2022/3/16, 50, 14, 20, 11, 1, 3
2022/3/17, 32, 30, 49, 19, 2, 4
2022/3/18, 71, 28, 52, 10, 1, 4
2022/3/19, 77, 17, 42, 5, 1, 4
2022/3/20, 56, 23, 35, 8, 1, 4
2022/3/21, 65, 17, 28, 10, 1, 4
2022/3/22, 59, 8, 20, 13, 1, 4
2022/3/23, 27, 6, 36, 11, 1, 3
2022/3/24, 21, 9, 36, 6, 1, 3
2022/3/25, 30, 15, 12, 7, 1, 3
2022/3/26, 51, 21, 18, 12, 1, 5
2022/3/27, 49, 11, 16, 15, 1, 5
2022/3/28, 39, 11, 17, 15, 1, 5
2022/3/29, 38, 16, 41, 13, 1, 4
2022/3/30, 48, 13, 35, 11, 1, 3
2022/3/31, 39, 15, 35, 10, 1, 4
2022/2/1, 51, 11, 7, 7, 1, 4
2022/2/2, 37, 5, 12, 7, 1, 4
2022/2/3, 16, 9, 23, 8, , 4
2022/2/4, 30, 14, 20, 8, , 4
2022/2/5, 44, 20, 42, 8, 1, 4
2022/2/6, 60, 19, 37, 13, 1, 3
2022/2/7, 52, 9, 12, 12, 1, 4
2022/2/8, 27, 19, 11, 15, 1, 5
2022/2/9, 44, 16, 32, 13, 1, 4
2022/2/10, 48, 9, 32, 9, 1, 3
2022/2/11, 25, 25, 33, 16, 1, 4
2022/2/12, 59, 19, 29, 12, 1, 6
2022/2/13, 55, 10, 33, 14, 1, 5
2022/2/14, 31, 19, 36, 13, 1, 5
2022/2/15, 48, 30, 46, 9, 1, 3
2022/2/16, 63, 21, 38, 10, 1, 3
2022/2/17, 56, 13, 39, 8, 1, 3
2022/2/18, 30, 6, 23, 10, 1, 4
2022/2/19, 18, 3, 16, 8, , 3
2022/2/20, 14, 4, 15, 15, , 3
2022/2/21, 12, 6, 14, 15, , 2
2022/2/22, 28, 9, 22, 13, , 2
2022/2/23, 25, 20, 24, 17, , 3
2022/2/24, 54, 23, 30, 22, , 4
2022/2/25, 63, 31, 98, 24, 1, 4
2022/2/26, 78, 38, 51, 15, 1, 4
2022/2/27, 97, 24, 47, 11, 1, 3
2022/2/28, 59, 24, 41, 21, 1, 4
2022/1/3, 66, 36, 45, 21, 1, 6
2022/1/4, 77, 24, 52, 23, 1, 5
2022/1/5, 63, 34, 45, 22, 1, 7
2022/1/6, 80, 44, 36, 20, 1, 7
2022/1/7, 83, 34, 32, 20, 1, 7
2022/1/8, 71, 39, 43, 21, 2, 7
2022/1/9, 78, 29, 30, 20, 2, 7
2022/1/10, 69, 24, 27, 18, 1, 7
2022/1/11, 60, 33, 24, 20, 2, 7
2022/1/12, 74, 45, 24, 25, 2, 8
2022/1/13, 89, 49, 36, 20, 1, 7
2022/1/14, 108, 39, 43, 14, 1, 7
2022/1/15, 87, 31, 45, 13, 1, 6
2022/1/16, 80, 34, 39, 19, 1, 7
2022/1/17, 85, 29, 13, 21, 1, 8
2022/1/18, 77, 23, 38, 23, 1, 5
2022/1/19, 54, 23, 36, 19, 1, 3
2022/1/20, 59, 30, 33, 17, 1, 2
2022/1/21, 65, 9, 25, 14, 1, 1
2022/1/22, 31, 10, 24, 16, 1, 2
2022/1/23, 29, 18, 26, 21, 1, 2
2022/1/24, 55, 15, 26, 16, 1, 3
2022/1/25, 40, 21, 30, 18, 1, 6
2022/1/26, 57, 22, 31, 19, 1, 6
2022/1/27, 66, 18, 30, 14, 1, 5
2022/1/28, 57, 16, 21, 11, 1, 7
2022/1/29, 40, 11, 25, 8, 1, 6
2022/1/30, 29, 15, 15, 10, 1, 5
2022/1/31, 47, 16, 9, 7, 1, 4
2021/10/1, 90, 29, 38, 13, , 4
2021/10/2, 76, 16, 46, 7, , 3
2021/10/3, 45, 23, 41, 11, , 4
2021/10/4, 50, 25, 42, 14, 1, 4
2021/10/5, 49, 31, 38, 13, , 3
2021/10/6, 45, 22, 27, 12, , 3
2021/10/7, 35, 4, 19, 9, 1, 3
2021/10/8, 12, 7, 31, 1, , 2
2021/10/9, 16, 18, 25, 11, 1, 4
2021/10/10, 37, 28, 35, 19, , 5
2021/10/11, 63, 22, 21, 13, 1, 4
2021/10/12, 48, 9, 25, 3, 1, 4
2021/10/13, 25, 11, 24, 10, 1, 6
2021/10/14, 28, 16, 10, 18, 1, 7
2021/10/15, 48, 19, 35, 12, 1, 7
2021/10/16, 50, 14, 28, 8, 1, 7
2021/10/17, 29, 23, 36, 20, 1, 6
2021/10/18, 54, 26, 42, 21, 1, 6
2021/10/19, 60, 20, 39, 15, , 4
2021/10/20, 45, 22, 19, 17, 1, 4
2021/10/21, 37, 11, 15, 12, , 4
2021/10/22, 25, 26, 14, 17, 1, 4
2021/10/23, 57, 17, 35, 11, , 5
2021/10/24, 38, 20, 44, 20, 1, 4
2021/10/25, 47, 27, 48, 20, 1, 5
2021/10/26, 60, 29, 43, 18, 1, 5
2021/10/27, 55, 29, 47, 15, 1, 4
2021/10/28, 57, 30, 49, 14, 1, 5
2021/10/29, 68, 34, 39, 17, , 5
2021/10/30, 76, 33, 56, 15, 1, 5
2021/10/31, 77, 29, 46, 17, 1, 5
2021/11/1, 72, 24, 47, 13, 1, 5
2021/11/2, 53, 31, 48, 15, 1, 5
2021/11/3, 66, 26, 43, 13, , 5
2021/11/4, 60, 23, 35, 16, 1, 5
2021/11/5, 54, 19, 31, 20, 1, 6
2021/11/6, 49, 18, 39, 16, 1, 6
2021/11/7, 47, 23, 27, 11, , 4
2021/11/8, 30, 30, 32, 19, 1, 4
2021/11/9, 42, 25, 34, 21, 2, 4
2021/11/10, 41, 26, 34, 28, 1, 5
2021/11/11, 52, 29, 47, 29, 2, 5
2021/11/12, 57, 32, 51, 24, 2, 5
2021/11/13, 63, 23, 45, 19, 1, 5
2021/11/14, 62, 32, 43, 28, 1, 6
2021/11/15, 66, 37, 51, 30, 1, 6
2021/11/16, 80, 57, 45, 26, 2, 6
2021/11/17, 112, 32, 60, 25, 1, 5
2021/11/18, 60, 30, 44, 25, 1, 7
2021/11/19, 70, 19, 43, 11, 1, 6
2021/11/20, 45, 25, 39, 11, , 6
2021/11/21, 51, 19, 21, 15, 1, 6
2021/11/22, 42, 36, 18, 18, 1, 5
2021/11/23, 59, 43, 29, 27, 1, 4
2021/11/24, 64, 42, 46, 36, 1, 6
2021/11/25, 74, 36, 38, 34, 2, 5
2021/11/26, 70, 33, 42, 29, 1, 5
2021/11/27, 66, 35, 53, 25, 1, 5
2021/11/28, 74, 33, 40, 30, 1, 5
2021/11/29, 71, 39, 37, 20, 1, 5
2021/11/30, 71, 40, 32, 18, 1, 4
2021/12/1, 56, 38, 32, 26, 2, 4
2021/12/2, 54, 32, 31, 28, 2, 4
2021/12/3, 50, 26, 38, 28, 1, 4
2021/12/4, 53, 38, 49, 30, 1, 5
2021/12/5, 68, 34, 40, 32, 2, 5
2021/12/6, 74, 32, 52, 25, 2, 5
2021/12/7, 61, 32, 52, 19, 1, 5
2021/12/8, 54, 36, 66, 24, 1, 5
2021/12/9, 57, 27, 41, 23, 1, 6
2021/12/10, 54, 27, 50, 17, 1, 5
2021/12/11, 51, 30, 54, 19, 1, 6
2021/12/12, 67, 53, 41, 26, 1, 8
2021/12/13, 118, 45, 50, 26, 1, 7
2021/12/14, 96, 19, 37, 17, 1, 5
2021/12/15, 42, 21, 29, 16, 1, 4
2021/12/16, 41, 24, 26, 16, 1, 5
2021/12/17, 46, 47, 31, 16, 2, 5
2021/12/18, 96, 47, 34, 17, 2, 4
2021/12/19, 84, 33, 22, 21, 1, 4
2021/12/20, 68, 12, 14, 20, 1, 4
2021/12/21, 33, 19, 22, 22, 1, 4
2021/12/22, 47, 24, 29, 24, 1, 4
2021/12/23, 52, 44, 21, 35, 2, 6
2021/12/24, 107, 36, 23, 19, 2, 5
2021/12/25, 84, 40, 11, 12, 1, 5
2021/12/26, 89, 22, 5, 13, 1, 4
2021/12/27, 57, 45, 12, 26, 1, 5
2021/12/28, 95, 56, 18, 32, 2, 6
2021/12/29, 113, 32, 31, 22, 1, 5
2021/12/30, 68, 38, 43, 23, 2, 6
2021/12/31, 77, 51, 44, 17, 2, 6
2022/1/1, 92, 48, 45, 20, 2, 6
2022/1/2, 104, 29, 38, 23, 1, 5
2021/7/1, 43, 16, 28, 6, , 1
2021/7/2, 45, 16, 28, 7, , 1
2021/7/3, 44, 14, 27, 8, 1, 1
2021/7/4, 44, 10, 13, 6, 1, 1
2021/7/5, 22, 9, 12, 8, , 1
2021/7/6, 17, 8, 19, 8, , 2
2021/7/7, 19, 10, 17, 9, 1, 3
2021/7/8, 26, 12, 27, 13, 1, 3
2021/7/9, 35, 8, 19, 8, 1, 2
2021/7/10, 20, 8, 18, 5, , 2
2021/7/11, 17, 12, 13, 11, 1, 2
2021/7/12, 26, 10, 20, 15, 1, 2
2021/7/13, 28, 10, 23, 17, 2, 3
2021/7/14, 32, 9, 20, 12, 1, 3
2021/7/15, 20, 9, 14, 18, , 3
2021/7/16, 26, 10, 16, 12, 1, 3
2021/7/17, 30, 7, 25, 6, , 2
2021/7/18, 20, 5, 17, 7, 1, 2
2021/7/19, 15, 5, 20, 14, , 3
2021/7/20, 10, 7, 22, 14, , 3
