date, pm25, pm10, o3, no2, so2
2021/1/8, 82, 32, 22, 17, 2
2021/1/9, 53, 32, 24, 19, 3
2021/1/10, 60, 40, 20, 17, 3
2021/1/11, 73, 48, 30, 23, 4
2021/1/12, 82, 32, 40, 30, 2
2021/1/13, 65, 38, 52, 36, 2
2021/1/14, 83, 35, 61, 34, 2
2021/1/15, 74, 38, 49, 25, 1
2021/1/16, 81, 79, 54, 15, 3
2021/1/17, 140, 62, 38, 27, 2
2021/1/18, 110, 44, 44, 24, 1
2021/1/19, 84, 33, 39, 16, 1
2021/1/20, 60, 29, 39, 19, 1
2021/1/21, 66, 59, 42, 41, 2
2021/1/22, 132, 47, 41, 34, 2
2021/1/23, 111, 31, 47, 14, 1
2021/1/24, 85, 33, 47, 16, 1
2021/1/25, 77, 40, 63, 28, 1
2021/1/26, 94, 43, 49, 18, 1
2021/1/27, 102, 39, 53, 18, 1
2021/1/28, 88, 26, 51, 16, 1
2021/1/29, 61, 52, 47, 12, 1
2021/1/30, 82, 24, 45, 14, 1
2021/1/31, 52, 20, 35, 21, 1
2021/2/1, 46, 26, 54, 18, 1
2021/2/2, 55, 35, 51, 11, 1
2021/2/3, 69, 34, 49, 13, 1
2021/2/4, 63, 27, 43, 14, 1
2021/2/5, 56, 25, 49, 28, 1
2021/2/6, 64, 27, 51, 22, 1
2021/2/7, 71, 31, 48, 12, 1
2021/2/8, 74, 42, 47, 12, 1
2021/2/9, 77, 10, 32, 13, 1
2021/2/10, 31, 9, 19, 12, 1
2021/2/11, 35, 16, 30, 13, 1
2021/2/12, 56, 17, 34, 15, 1
2021/2/13, 59, 22, 51, 15, 1
2021/2/14, 62, 26, 41, 15, 1
2021/2/15, 75, 23, 44, 13, 1
2021/2/16, 62, 21, 39, 17, 1
2021/2/17, 60, 34, 43, 13, 1
2021/2/18, 76, 33, 47, 15, 1
2021/2/19, 69, 34, 52, 23, 1
2021/2/20, 76, 32, 52, 22, 1
2021/2/21, 82, 25, 39, 25, 1
2021/2/22, 69, 26, 53, 18, 1
2021/2/23, 67, 27, 43, 8, 1
2021/2/24, 59, 20, 38, 13, 
